Interactor_A	Interactor_B	Score	type	org1	org2
371	MKI67	HBB	432.5	physical	Homo sapiens	Homo sapiens
372	MKI67	SHOC2	431.5	physical	Homo sapiens	Homo sapiens
373	MKI67	NR2C2	384.6	physical	Homo sapiens	Homo sapiens
374	MKI67	IGHG1	319.5	physical	Homo sapiens	Homo sapiens
375	MKI67	WDR18	356.1	physical	Homo sapiens	Homo sapiens
376	MKI67	DNTTIP2	311.8	physical	Homo sapiens	Homo sapiens
377	MKI67	TRRAP	1781.4	physical	Homo sapiens	Homo sapiens
378	MKI67	SNRNP200	1448.4	physical	Homo sapiens	Homo sapiens
379	MKI67	GTF3C1	1436.4	physical	Homo sapiens	Homo sapiens
380	MKI67	MAP1B	1463.9	physical	Homo sapiens	Homo sapiens
381	MKI67	DST	1392.7	physical	Homo sapiens	Homo sapiens
382	MKI67	PRPF8	1206	physical	Homo sapiens	Homo sapiens
383	MKI67	NOP58	1016.8	physical	Homo sapiens	Homo sapiens
384	MKI67	EP400	1133.4	physical	Homo sapiens	Homo sapiens
385	MKI67	RSL1D1	1079.1	physical	Homo sapiens	Homo sapiens
386	MKI67	DDX24	847.5	physical	Homo sapiens	Homo sapiens
387	MKI67	GNL3	701	physical	Homo sapiens	Homo sapiens
388	MKI67	CHD7	764.5	physical	Homo sapiens	Homo sapiens
389	MKI67	DOCK10	725.3	physical	Homo sapiens	Homo sapiens
390	MKI67	WDR3	738.7	physical	Homo sapiens	Homo sapiens
